Grade12 Term2,พ33102,สุขศึกษาและพละศึกษา 6,0.5,4
Grade12 Term2,ศ33102,ศิลปกรรม 6,0.5,4
Grade12 Term2,ง30107,การงานอาชีพ 6,1,4
Grade12 Term2,อ33102,ภาษาอังกฤษพื้นฐาน 6,1,2.5
Grade12 Term2,ค33202,คณิตศาสตร์เพิ่มเติม 6,1.5,4
Grade12 Term2,ว33202,ฟิสิกส์ 6,1.5,4
Grade12 Term2,ว33222,เคมี 6,1.5,4
Grade12 Term2,ง30239,การเขียนโปรแกรมคอมพิวเตอร์ 6,1.5,4
Grade12 Term2,อ30256,Reading&Writing Fundamental 6,1,2.5
Grade12 Term2,อ30265,IELTS 6,1.5,4
Grade12 Term2,อ33206,ภาษาอังกฤษเพิ่มเติม 6,0.5,2.5
